"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1726","HUI ULILI ST + OPP H","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1733","HUI IWA ST + KAHEKIL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2399","KAMEHAMEHA HWY + OPP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2473","KAMEHAMEHA HWY + OPP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1728","HUI ULILI ST + 47-69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1739","KAHEKILI HWY + OPP A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1730","HUI IWA ST + HALEMAN","27","0","0","0","27","27","0","0","0","27","21","0","0","0","21"
"3710","FORT WEAVER RD + EWA","52","0","0","0","52","52","0","0","0","52","57","0","0","0","57"
"1727","HUI ULILI ST + HUI I","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1732","HUI IWA ST + HUI AEK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2310","KAMEHAMEHA HWY + WAI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4397","HUI IWA ST + HUI KEL","21","0","0","0","21","21","0","0","0","21","23","0","0","0","23"
"2555","KAMEHAMEHA HWY + OPP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"988","N KING ST + KOKEA ST","30","0","0","2","32","30","0","0","2","32","27","0","0","4","31"
"3342","DATE ST + OPP LAAU S","5","0","0","0","5","5","0","0","0","5","5","0","0","0","5"
"182","RIVER ST + N BERETAN","16","0","0","0","16","16","0","0","0","16","9","0","0","0","9"
"330","BETHEL ST + S KING S","25","0","0","7","32","25","0","0","7","32","21","0","0","21","42"
"321","PUNCHBOWL ST + MILLE","44","0","0","0","44","44","0","0","0","44","44","0","0","0","44"
"838","QUEEN ST + OPP MILIL","37","0","0","0","37","37","0","0","0","37","33","0","0","0","33"
"320","VINEYARD BL + PUNCHB","7","0","0","23","30","7","0","0","23","30","7","0","0","39","46"
"326","QUEEN ST + MILILANI","32","0","0","0","32","32","0","0","0","32","38","0","0","0","38"
"329","QUEEN ST + FORT ST M","67","0","0","0","67","67","0","0","0","67","67","0","0","0","67"
"323","PUNCHBOWL ST + MAIN","27","0","0","0","28","27","0","0","0","28","27","0","0","0","28"
"324","PUNCHBOWL ST + S KIN","22","0","0","1","23","22","0","0","1","23","22","0","0","1","23"
"1280","BISHOP ST + QUEEN ST","52","1","0","9","62","52","1","0","9","62","77","0","0","10","87"
"1405","S KING ST + ALAKEA S","257","0","0","54","311","257","0","0","54","311","274","0","0","36","310"
"389","NUUANU AVE + VINEYAR","8","1","0","0","8","8","1","0","0","8","8","0","0","0","8"
"746","QUEEN EMMA ST + VINE","8","5","0","15","28","8","5","0","15","28","17","3","0","31","51"
"840","QUEEN ST + SOUTH ST","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"836","QUEEN ST + ALAKEA ST","8","0","0","2","11","8","0","0","2","11","9","0","0","2","11"
"837","QUEEN ST + RICHARDS","15","0","0","3","18","15","0","0","3","18","7","0","0","1","8"
"328","QUEEN ST + BISHOP ST","23","0","0","1","24","23","0","0","1","24","23","0","0","0","23"
"1111","SOUTH ST + HALEKAUWI","16","0","0","0","16","16","0","0","0","16","9","0","0","0","9"
"896","ALA MOANA BL + RICHA","71","0","0","0","71","71","0","0","0","71","65","0","0","0","65"
"1065","SOUTH ST + AUAHI ST","34","0","0","0","34","34","0","0","0","34","34","0","0","0","34"
"327","QUEEN ST + RICHARDS","24","0","0","1","25","24","0","0","1","25","27","0","0","1","28"
"332","BETHEL ST + S BERETA","30","0","0","0","31","30","0","0","0","31","26","0","0","1","28"
"322","PUNCHBOWL ST + S BER","11","1","0","53","64","11","1","0","53","64","17","1","0","84","102"
"839","QUEEN ST + PUNCHBOWL","8","0","0","7","15","8","0","0","7","15","8","0","0","0","8"
"333","NUUANU AVE + KUKUI S","13","0","0","20","33","13","0","0","20","33","10","0","0","20","30"
"392","NUUANU AVE + PAUAHI","77","3","0","2","81","77","3","0","2","81","82","3","0","147","233"
"950","PUNCHBOWL ST + HALEK","100","0","0","7","107","100","0","0","7","107","66","0","0","0","66"
"391","NUUANU AVE + S BERET","67","0","0","10","77","67","0","0","10","77","64","0","0","14","78"
"745","QUEEN EMMA ST + S BE","6","0","0","37","43","6","0","0","37","43","7","1","0","41","48"
"592","N KING ST + RIVER ST","90","0","0","50","140","90","0","0","50","140","182","0","0","61","243"
"833","PALI HWY + S BERETAN","260","4","0","236","500","260","4","0","236","500","273","0","0","279","552"
"325","QUEEN ST + PUNCHBOWL","42","0","0","0","42","42","0","0","0","42","47","0","0","0","47"
"390","NUUANU AVE + KUKUI S","9","0","0","0","9","9","0","0","0","9","9","0","0","0","9"
"44","S BERETANIA ST + ALA","375","0","0","4","379","375","0","0","4","379","490","1","0","170","660"
"132","S KING ST + SOUTH ST","62","0","0","3","65","62","0","0","3","65","50","0","0","3","53"
"897","ALAKEA ST + NIMITZ H","266","1","0","4","271","266","1","0","4","271","260","0","0","4","264"
"1408","RIVER ST + N HOTEL S","28","0","0","72","100","28","0","0","72","100","28","0","0","69","97"
"49","N HOTEL ST + SMITH S","204","0","0","7","212","204","0","0","7","212","167","0","0","2","169"
"130","S HOTEL ST + RICHARD","761","3","0","74","838","761","3","0","74","838","518","1","0","31","550"
"834","BISHOP ST + S HOTEL","2060","35","0","519","2614","2060","35","0","519","2614","1722","22","0","734","2478"
"737","S BERETANIA ST + ETE","0","0","0","0","0","0","0","0","0","0","55","0","0","0","55"
"129","S HOTEL ST + ALAKEA","145","0","0","270","415","145","0","0","270","415","125","0","0","246","371"
"127","S HOTEL ST + BETHEL","790","1","0","17","808","790","1","0","17","808","577","1","0","15","594"
"331","BETHEL ST + S HOTEL","13","0","0","39","52","13","0","0","39","52","18","0","0","31","49"
"835","BISHOP ST + S KING S","529","0","0","136","666","529","0","0","136","666","512","0","0","261","774"
"439","N BERETANIA ST + OPP","636","1","0","368","1005","636","1","0","368","1005","629","1","0","508","1139"
"438","N BERETANIA ST + OPP","462","1","0","259","721","462","1","0","259","721","551","1","0","270","821"
"393","S KING ST + BETHEL S","1121","6","0","157","1283","1121","6","0","157","1283","1622","3","0","174","1799"
"997","N KING ST + MAUNAKEA","510","1","0","16","527","510","1","0","16","527","883","1","0","159","1043"
"744","ALAKEA ST + S HOTEL","181","11","0","307","500","181","11","0","307","500","173","11","0","308","492"
"126","N HOTEL ST + SMITH S","496","1","0","21","519","496","1","0","21","519","402","1","0","14","418"
"48","S HOTEL ST + BETHEL","476","0","0","42","518","476","0","0","42","518","432","0","0","39","471"
"46","S HOTEL ST + ALAKEA","1059","3","0","264","1327","1059","3","0","264","1327","1008","2","0","243","1253"
"743","ALAKEA ST + S KING S","258","1","0","111","370","258","1","0","111","370","223","1","0","177","401"
"4400","S KING ST + ALAKEA S","551","1","0","237","789","551","1","0","237","789","792","1","0","461","1254"
"125","N HOTEL ST + RIVER S","739","0","0","75","814","739","0","0","75","814","499","0","0","127","626"
"50","N HOTEL ST + RIVER S","355","0","0","65","420","355","0","0","65","420","314","0","0","45","360"
"437","S BERETANIA ST + PAL","1238","4","0","333","1574","1238","4","0","333","1574","1382","3","0","366","1750"
"47","S HOTEL ST + BISHOP","1265","0","0","42","1307","1265","0","0","42","1307","1191","0","0","20","1211"
"128","S HOTEL ST + BISHOP","853","2","0","66","921","853","2","0","66","921","587","2","0","84","672"
"45","S BERETANIA ST + PUN","1112","18","0","1351","2481","1112","18","0","1351","2481","1039","13","0","1649","2701"
"131","S KING ST + PUNCHBOW","1086","2","0","4606","5694","1086","2","0","4606","5694","1352","2","0","3572","4926"
"2098","PENSACOLA ST + YOUNG","29","0","0","0","29","29","0","0","0","29","28","0","0","0","28"
"1003","ALAPAI TRANSIT CENTE","174","0","0","10","184","174","0","0","10","184","93","0","0","5","98"
"1375","PENSACOLA ST + OPP E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3909","WARD AVE + S KING ST","21","0","0","9","30","21","0","0","9","30","9","0","0","13","23"
"3910","WARD AVE + KAPIOLANI","17","0","0","2","19","17","0","0","2","19","17","0","0","25","42"
"843","QUEEN ST + KAMANI ST","25","0","0","0","25","25","0","0","0","25","26","0","0","0","26"
"769","QUEEN ST + COOKE ST","4","0","0","0","4","4","0","0","0","4","4","0","0","0","4"
"842","QUEEN ST + COOKE ST","6","0","0","0","6","6","0","0","0","6","6","0","0","0","6"
"845","AUAHI ST + WARD AVE","38","0","0","0","38","38","0","0","0","38","20","0","0","0","20"
"768","QUEEN ST + KAMANI ST","23","0","0","0","23","23","0","0","0","23","17","0","0","0","17"
"892","ALA MOANA BL + KOULA","5","0","0","0","5","5","0","0","0","5","9","0","0","0","9"
"1066","SOUTH ST + KAWAIAHAO","4","0","0","0","4","4","0","0","0","4","0","0","0","0","0"
"1376","PENSACOLA ST + OPP H","4","0","0","0","4","4","0","0","0","4","4","0","0","0","4"
"953","ALA MOANA BL + AHUI","80","0","0","0","80","80","0","0","0","80","82","0","0","0","82"
"2097","PENSACOLA ST + S BER","20","0","0","1","21","20","0","0","1","21","14","0","0","1","15"
"429","PIIKOI ST + ALA MOAN","71","0","0","129","200","71","0","0","129","200","80","0","0","203","283"
"767","WARD AVE + OPP HALEK","9","0","0","0","9","9","0","0","0","9","9","0","0","0","9"
"4344","AUAHI ST + KAMAKEE S","67","0","0","0","67","67","0","0","0","67","75","0","0","0","75"
"954","ALA MOANA BL + WARD","61","0","0","39","101","61","0","0","39","101","48","0","0","68","117"
"956","ALA MOANA BL + OPP Q","112","0","0","115","227","112","0","0","115","227","87","0","0","228","316"
"844","WARD AVE + HALEKAUWI","14","0","0","0","14","14","0","0","0","14","14","0","0","0","14"
"770","QUEEN ST + EMILY ST","37","0","0","0","37","37","0","0","0","37","28","0","0","0","28"
"846","AUAHI ST + KAMAKEE S","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0"
"891","ALA MOANA BL + WARD","24","0","0","0","24","24","0","0","0","24","19","0","0","0","19"
"763","ALA MOANA BL + QUEEN","119","0","0","0","119","119","0","0","0","119","94","0","0","0","94"
"764","ALA MOANA BL + KAMAK","56","0","0","0","56","56","0","0","0","56","44","0","0","0","44"
"841","QUEEN ST + KEAWE ST","28","0","0","0","28","28","0","0","0","28","2","0","0","0","2"
"133","S KING ST + COOKE ST","228","1","0","36","264","228","1","0","36","264","225","1","0","36","262"
"4334","PIIKOI ST + WAIMANU","6","3","0","13","23","6","3","0","13","23","5","3","0","11","19"
"2099","PENSACOLA ST + S KIN","20","0","0","1","22","20","0","0","1","22","20","0","0","1","21"
"955","ALA MOANA BL + OPP K","28","0","0","65","93","28","0","0","65","93","21","0","0","65","87"
"893","ALA MOANA BL + CORAL","52","0","0","17","70","52","0","0","17","70","47","0","0","11","58"
"596","KAPIOLANI BL + COOKE","184","1","0","25","210","184","1","0","25","210","364","0","0","0","364"
"436","KAPIOLANI BL + SOUTH","207","0","0","31","238","207","0","0","31","238","205","0","0","40","245"
"435","KAPIOLANI BL + COOKE","174","0","0","25","199","174","0","0","25","199","193","0","0","30","222"
"602","KAPIOLANI BL + PIIKO","80","0","0","0","81","80","0","0","0","81","40","0","0","1","42"
"433","KAPIOLANI BL + WARD","203","0","0","1","204","203","0","0","1","204","236","0","0","2","238"
"598","KAPIOLANI BL + WARD","241","0","0","10","251","241","0","0","10","251","554","0","0","38","592"
"952","ALA MOANA BL + CORAL","123","0","0","60","183","123","0","0","60","183","149","0","0","9","158"
"1102","ALA MOANA BL + OPP A","360","1","0","0","360","360","1","0","0","360","219","1","0","0","220"
"138","S KING ST + PIIKOI S","237","1","0","1","239","237","1","0","1","239","213","1","0","1","216"
"595","KAPIOLANI BL + SOUTH","619","0","0","91","710","619","0","0","91","710","794","0","0","39","834"
"135","S KING ST + WARD AVE","883","0","0","9","893","883","0","0","9","893","559","0","0","13","573"
"137","S KING ST + PENSACOL","282","1","0","15","298","282","1","0","15","298","239","1","0","1","241"
"600","KAPIOLANI BL + KAMAK","567","0","0","579","1147","567","0","0","579","1147","824","0","0","3662","4486"
"4404","KAPIOLANI BL + PIIKO","204","0","0","0","204","204","0","0","0","204","219","0","0","27","247"
"181","ALAPAI ST + S KING S","385","38","0","53","476","385","38","0","53","476","416","40","0","199","656"
"431","KAPIOLANI BL + OPP K","261","0","0","50","311","261","0","0","50","311","280","0","0","49","328"
"41","S BERETANIA ST + PEN","514","0","0","0","514","514","0","0","0","514","488","0","0","0","489"
"2288","ALAPAI TRANSIT CENTE","155","52","0","43","250","155","52","0","43","250","98","40","0","30","167"
"417","UNIVERSITY AVE + 836","43","0","0","0","43","43","0","0","0","43","42","0","0","0","42"
"3291","DATE ST + LAAU ST","15","0","0","0","15","15","0","0","0","15","13","0","0","0","13"
"422","MCCULLY ST + DATE ST","4","0","0","0","4","4","0","0","0","4","4","0","0","0","4"
"423","MCCULLY ST + KAPIOLA","10","0","0","0","10","10","0","0","0","10","11","0","0","0","11"
"295","UNIVERSITY AVE + 831","23","0","0","0","23","23","0","0","0","23","38","0","0","0","38"
"420","CITRON ST + ISENBERG","1","0","0","0","1","1","0","0","0","1","1","0","0","0","1"
"2995","KAPIOLANI BL + MAHIA","18","0","0","0","18","18","0","0","0","18","18","0","0","0","18"
"421","CITRON ST + PAANI ST","11","0","0","0","11","11","0","0","0","11","9","0","0","0","9"
"419","DATE ST + HAUSTEN ST","59","0","0","2","61","59","0","0","2","61","58","0","0","2","60"
"2994","KAPIOLANI BL + DATE","17","0","0","0","17","17","0","0","0","17","17","0","0","0","17"
"3047","KAPIOLANI BL + DATE","62","0","0","0","62","62","0","0","0","62","55","0","0","0","55"
"364","KAPIOLANI BL + OPP P","46","0","0","0","46","46","0","0","0","46","52","0","0","0","52"
"2993","KAPIOLANI BL + UNIVE","53","0","0","0","53","53","0","0","0","53","48","0","0","0","48"
"3046","KAPIOLANI BL + WAIAK","13","0","0","0","13","13","0","0","0","13","13","0","0","0","13"
"3070","S KING ST + CHURCH L","95","0","0","0","95","95","0","0","0","95","86","0","0","0","86"
"3289","KAPIOLANI BL + DATE","38","0","0","2","40","38","0","0","2","40","42","0","0","2","44"
"3290","DATE ST + KAPIOLANI","29","0","0","0","29","29","0","0","0","29","31","0","0","0","31"
"294","UNIVERSITY AVE + DAT","63","0","0","0","63","63","0","0","0","63","63","0","0","0","63"
"3049","KAPIOLANI BL + PAANI","44","0","0","0","44","44","0","0","0","44","45","0","0","0","45"
"858","S KING ST + MAKAHIKI","94","0","0","0","94","94","0","0","0","94","99","0","0","0","100"
"859","S KING ST + ISENBERG","153","0","0","14","167","153","0","0","14","167","129","0","0","0","129"
"856","S KING ST + MCCULLY","150","1","0","88","238","150","1","0","88","238","170","1","0","76","247"
"3343","DATE ST + MAHIAI ST","57","0","0","0","57","57","0","0","0","57","65","0","0","0","65"
"365","KAPIOLANI BL + OPP I","152","0","0","60","212","152","0","0","60","212","128","0","0","51","179"
"418","KAPIOLANI BL + UNIVE","139","1","0","0","140","139","1","0","0","140","132","0","0","0","132"
"854","S KING ST + HAUOLI S","148","0","0","0","148","148","0","0","0","148","137","0","0","0","137"
"2991","KAPIOLANI BL + KALAK","118","9","0","9","136","118","9","0","9","136","142","10","0","9","161"
"3344","DATE ST + KAPIOLANI","43","1","0","0","44","43","1","0","0","44","47","1","0","0","48"
"3068","S KING ST + KAHUNA L","47","0","0","2","50","47","0","0","2","50","45","0","0","2","48"
"816","S BERETANIA ST + PUN","94","0","0","6","100","94","0","0","6","100","66","0","0","12","78"
"424","MCCULLY ST + ALA WAI","50","0","0","37","87","50","0","0","37","87","52","0","0","57","109"
"814","S BERETANIA ST + ART","271","0","0","0","271","271","0","0","0","271","274","0","0","0","274"
"363","KAPIOLANI BL + MCCUL","139","0","0","1","140","139","0","0","1","140","112","0","0","1","114"
"813","S BERETANIA ST + MCC","222","0","0","29","252","222","0","0","29","252","234","0","0","29","263"
"852","S KING ST + PUNAHOU","114","0","0","7","121","114","0","0","7","121","115","0","0","1","117"
"984","KAPIOLANI BL + ISENB","721","13","0","0","734","721","13","0","0","734","650","5","0","0","655"
"416","UNIVERSITY AVE + S K","281","11","0","14","306","281","11","0","14","306","256","8","0","17","281"
"1016","KAPIOLANI BL + MCCUL","499","0","0","0","500","499","0","0","0","500","493","0","0","0","494"
"4576","NIU + KALAKAUA AVE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4019","DIAMOND HEAD RD + CO","2","0","0","0","2","2","0","0","0","2","2","0","0","0","2"
"4020","DIAMOND HEAD RD + 31","8","0","0","0","8","8","0","0","0","8","8","0","0","0","8"
"4125","DIAMOND HEAD RD + OP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","PAKI AVE + NOELA ST","71","0","0","0","71","71","0","0","0","71","72","0","0","0","72"
"234","MONSARRAT AVE + PAKI","14","0","0","0","14","14","0","0","0","14","1","0","0","0","1"
"4126","DIAMOND HEAD RD + CO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","KALAKAUA AVE + PONI","0","0","0","5","5","0","0","0","5","5","0","0","0","4","4"
"159","KALAKAUA AVE + WAIKI","45","0","0","0","45","45","0","0","0","45","42","0","0","0","42"
"13","PAKI AVE + DIAMOND H","133","0","0","0","133","133","0","0","0","133","126","0","0","0","126"
"12","PAKI AVE + PONI MOI","16","0","0","0","16","16","0","0","0","16","16","0","0","0","16"
"233","PAU ST + ALA WAI BL","36","0","0","0","36","36","0","0","0","36","46","0","0","0","46"
"157","KALAKAUA AVE + OPP M","43","0","0","0","43","43","0","0","0","43","43","0","0","0","43"
"887","KALIA RD + OPP MALUH","142","0","0","8","149","142","0","0","8","149","177","0","0","4","180"
"161","KALAKAUA AVE + ELKS","20","0","0","0","20","20","0","0","0","20","20","0","0","0","20"
"4352","KALAKAUA AV + OPP OL","183","7","0","22","213","183","7","0","22","213","148","8","0","12","167"
"4349","KALAKAUA AVE + OPP U","499","0","0","169","668","499","0","0","169","668","490","0","0","232","722"
"4348","KALAKAUA AVE + OPP S","1124","0","0","1","1126","1124","0","0","1","1126","1168","0","0","1","1169"
"183","KAPAHULU AVE + PAKI","129","0","0","4","133","129","0","0","4","133","194","0","0","11","205"
"889","SARATOGA RD + KALAKA","251","0","0","14","265","251","0","0","14","265","307","0","0","14","321"
"1861","MONSARRAT AVE + KAPI","59","0","0","0","59","59","0","0","0","59","55","0","0","0","55"
"16","PAKI AVE + MONSARRAT","46","1","0","2","49","46","1","0","2","49","39","1","0","0","39"
"17","PAKI AVE + KAPAHULU","98","1","0","19","118","98","1","0","19","118","96","1","0","15","112"
"87","MONSARRAT AVE + KALA","126","0","0","11","137","126","0","0","11","137","186","0","0","24","209"
"30","KALAKAUA AVE + PAU S","79","0","0","5","84","79","0","0","5","84","73","0","0","11","84"
"18","KAPAHULU AVE + ALA W","45","0","0","4","49","45","0","0","4","49","47","0","0","11","59"
"156","KAPAHULU AVE + KALAK","77","1","0","7","84","77","1","0","7","84","69","1","0","7","77"
"888","KALIA RD + SARATOGA","181","0","0","0","181","181","0","0","0","181","139","0","0","0","139"
"15","PAKI AVE + PAKI PLAY","113","0","0","0","113","113","0","0","0","113","111","0","0","0","111"
"148","KUHIO AVE + OPP NAMA","153","0","0","14","168","153","0","0","14","168","170","0","0","8","178"
"4255","KUHIO AVE + OPP LAUN","208","1","0","0","210","208","1","0","0","210","221","1","0","8","230"
"88","MONSARRAT AVE + KAPI","79","0","0","11","89","79","0","0","11","89","77","0","0","27","105"
"147","KALAKAUA AVE + ENA R","176","0","0","0","176","176","0","0","0","176","163","0","0","0","163"
"879","ALA MOANA BL + OPP K","53","0","0","0","53","53","0","0","0","53","53","0","0","0","53"
"877","KALIA RD + SARATOGA","68","0","0","0","68","68","0","0","0","68","73","0","0","3","76"
"29","KUHIO AVE + NAMAHANA","147","0","0","0","147","147","0","0","0","147","145","0","0","0","145"
"886","KALIA RD + PAOA PL","133","0","0","0","133","133","0","0","0","133","155","0","0","0","155"
"153","KUHIO AVE + LILIUOKA","344","0","0","0","344","344","0","0","0","344","360","0","0","11","371"
"19","KAPAHULU AVE + KUHIO","217","1","0","16","234","217","1","0","16","234","218","1","0","28","247"
"878","KALIA RD + MALUHIA S","174","0","0","0","174","174","0","0","0","174","183","0","0","13","197"
"150","KUHIO AVE + LEWERS S","288","1","0","2","291","288","1","0","2","291","325","1","0","0","326"
"154","KUHIO AVE + PAOAKALA","513","0","0","37","550","513","0","0","37","550","539","0","0","58","597"
"28","KUHIO AVE + LAUNIU S","294","0","0","3","297","294","0","0","3","297","314","0","0","3","318"
"876","SARATOGA RD + KALAKA","281","0","0","0","281","281","0","0","0","281","247","0","0","0","247"
"884","ALA MOANA BL + HOBRO","998","3","0","0","1000","998","3","0","0","1000","1161","1","0","0","1162"
"152","KUHIO AVE + KAIULANI","709","0","0","2","711","709","0","0","2","711","860","0","0","2","862"
"31","KALAKAUA AVE + MCCUL","190","0","0","0","191","190","0","0","0","191","179","0","0","0","179"
"23","KUHIO AVE + KAIULANI","394","0","0","2","396","394","0","0","2","396","367","0","0","2","369"
"880","ALA MOANA BL + HOBRO","520","0","0","0","520","520","0","0","0","520","507","0","0","0","507"
"151","KUHIO AVE + SEASIDE","900","0","0","0","900","900","0","0","0","900","899","0","0","0","899"
"27","KUHIO AVE + LEWERS S","134","0","0","0","134","134","0","0","0","134","141","0","0","0","141"
"20","KUHIO AVE + PAOAKALA","714","0","0","0","715","714","0","0","0","715","703","0","0","0","704"
"22","KUHIO AVE + LILIUOKA","773","0","0","0","773","773","0","0","0","773","789","0","0","29","819"
"24","KUHIO AVE + WALINA S","985","1","0","7","993","985","1","0","7","993","1040","1","0","0","1041"
"26","KUHIO AVE + SEASIDE","1073","0","0","0","1073","1073","0","0","0","1073","1086","0","0","0","1086"
"219","KILAUEA AVE + PAHOA","87","0","0","0","87","87","0","0","0","87","87","0","0","0","87"
"3325","18TH AVE + KILAUEA A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3337","MOOHEAU AVE + KAPAHU","50","0","0","0","50","50","0","0","0","50","48","0","0","0","48"
"3997","PETER ST + BERTRAM S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4004","SAINT LOUIS DR + OPP","9","0","0","0","9","9","0","0","0","9","9","0","0","0","9"
"4007","SAINT LOUIS DR + 153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4021","DIAMOND HEAD RD + BE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4028","KAHALA AVE + ROYAL P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4030","KAHALA AVE + OPP KAL","14","0","0","0","14","14","0","0","0","14","14","0","0","0","14"
"4033","KAHALA AVE + OPP KOL","16","0","0","0","16","16","0","0","0","16","16","0","0","0","16"
"4035","KAHALA AVE + 4761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4038","PUEO ST + FARMERS RD","15","0","0","0","15","15","0","0","0","15","15","0","0","0","15"
"4045","HUANUI ST + HUNALEWA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4054","PAHOA AVE + 18TH AVE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4056","SIERRA DR + WILHEMIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4060","SIERRA DR + OPP MIKA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4064","SIERRA DR + WILHEMIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4067","SIERRA DR + LURLINE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4078","PAULA DR + MAUNAHILU","28","0","0","0","28","28","0","0","0","28","29","0","0","0","29"
"4080","PAULA DR + OPP PUUMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4082","PAULA DR + 1548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4084","KOKO DR + 3922","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4087","ANUHEA ST + OPP PELU","5","0","0","0","5","5","0","0","0","5","5","0","0","0","5"
"4100","HUANUI ST + PUU PANI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4101","PUU PANINI AVE + KIL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","KAHALA AVE + 4442","10","0","0","0","10","10","0","0","0","10","10","0","0","0","10"
"4122","DIAMOND HEAD RD + OP","11","0","0","0","11","11","0","0","0","11","11","0","0","0","11"
